order,request_id,request_time,origin,destination,desired_time,ptw_lb,ptw_ub,decision
1,33,-42840,36,37,455,445,465,accepted
2,39,-42840,40,44,487,477,497,accepted
3,47,-42840,13,14,460,450,470,accepted
4,7,-39960,13,14,452,442,462,accepted
5,8,-37080,31,34,470,460,480,accepted
6,36,-37080,6,14,454,444,464,accepted
7,50,-35640,45,47,527,517,537,accepted
8,27,-31320,41,44,483,473,493,accepted
9,5,-29880,35,47,456,446,466,accepted
10,15,-29880,16,24,474,464,484,accepted
11,46,-29880,33,47,461,451,471,accepted
12,43,-28440,30,46,461,451,471,accepted
13,22,-27000,11,15,457,447,467,accepted
14,18,-25560,3,14,404,394,414,accepted
15,23,-25560,28,45,485,475,495,accepted
16,1,-24120,17,23,449,439,459,accepted
17,41,-24120,40,45,519,509,529,accepted
18,2,-22680,33,44,506,496,516,accepted
19,11,-22680,13,18,385,375,395,accepted
20,3,-21240,38,44,514,504,524,accepted
21,14,-21240,36,50,497,487,507,accepted
22,31,-21240,46,47,454,444,464,accepted
23,49,-21240,3,13,427,417,437,accepted
24,37,-19800,30,49,488,478,498,accepted
25,6,-18360,4,24,450,440,460,accepted
26,48,-18360,37,40,468,458,478,accepted
27,12,-14040,35,41,510,500,520,accepted
28,17,-14040,38,49,492,482,502,accepted
29,24,-14040,35,37,510,500,520,accepted
30,30,-14040,4,17,450,440,460,accepted
31,45,-14040,9,24,460,450,470,accepted
32,19,-12600,40,45,481,471,491,accepted
33,29,-12600,27,38,496,486,506,accepted
34,35,-12600,33,43,473,463,483,accepted
35,4,-11160,12,17,466,456,476,accepted
36,25,-11160,30,35,482,472,492,accepted
37,16,-9720,27,43,485,475,495,accepted
38,28,-9720,34,36,426,416,436,accepted
39,38,-9720,21,24,442,432,452,accepted
40,40,-9720,42,43,445,435,455,accepted
41,10,-6840,1,4,444,434,454,accepted
42,26,-6840,33,46,506,496,516,accepted
43,34,-6840,8,12,458,448,468,accepted
44,42,-6840,30,39,481,471,491,accepted
45,44,-6840,35,48,494,484,504,accepted
46,20,-5400,44,49,446,436,456,accepted
47,9,-2520,16,21,457,447,467,accepted
48,13,-2520,26,28,423,413,433,accepted
49,32,-2520,5,13,437,427,447,rejected
50,21,-1080,35,46,463,453,473,accepted
