vehicle,trip,stop,arrival,departure,stop_type
1,1,1,360,361,mandatory
1,1,8,364,365,mandatory
1,1,12,368,369,mandatory
1,1,13,370,371,mandatory
1,1,14,375,376,mandatory
1,1,17,379,380,mandatory
1,1,21,381,382,mandatory
1,1,24,384,385,mandatory
1,1,25,388,389,mandatory
1,1,26,400.99,401.99,mandatory
1,1,27,403.99,404.99,mandatory
1,1,30,406.99,407.99,mandatory
1,1,34,408.99,409.99,mandatory
1,1,37,412.99,413.99,mandatory
1,1,38,417.99,418.99,mandatory
1,1,39,419.99,420.99,mandatory
1,1,40,424.99,425.99,optional
1,1,43,427.99,428.99,mandatory
1,1,45,430.99,431.99,optional
1,1,50,436.99,437.99,mandatory
1,2,1,438,439,mandatory
1,2,8,442,443,mandatory
1,2,12,446,447,mandatory
1,2,13,448,449,mandatory
1,2,14,453,454,mandatory
1,2,17,457,458,mandatory
1,2,21,459,460,mandatory
1,2,24,462,463,mandatory
1,2,25,466,467,mandatory
1,2,26,467,468,mandatory
1,2,27,470,471,mandatory
1,2,30,473,474,mandatory
1,2,31,477,478,optional
1,2,33,481,482,optional
1,2,34,482,483,mandatory
1,2,37,486,487,mandatory
1,2,38,491,492,mandatory
1,2,39,493,494,mandatory
1,2,40,498,499,optional
1,2,41,499,500,optional
1,2,42,502,503,optional
1,2,43,503,504,mandatory
1,2,44,506,507,optional
1,2,45,507,508,optional
1,2,46,510,511,optional
1,2,48,512,513,optional
1,2,50,515,516,mandatory
2,1,1,373.99,374.99,mandatory
2,1,8,377.99,378.99,mandatory
2,1,12,381.99,382.99,mandatory
2,1,13,383.99,384.99,mandatory
2,1,14,388.99,389.99,mandatory
2,1,17,392.99,393.99,mandatory
2,1,20,396.99,397.99,optional
2,1,21,400.99,401.99,mandatory
2,1,22,403.99,404.99,optional
2,1,24,405.99,406.99,mandatory
2,1,25,409.99,410.99,mandatory
2,1,26,417.99,418.99,mandatory
2,1,27,420.99,421.99,mandatory
2,1,30,423.99,424.99,mandatory
2,1,33,425.99,426.99,optional
2,1,34,426.99,427.99,mandatory
2,1,37,430.99,431.99,mandatory
2,1,38,435.99,436.99,mandatory
2,1,39,437.99,438.99,mandatory
2,1,42,441.99,442.99,optional
2,1,43,442.99,443.99,mandatory
2,1,44,445.99,446.99,optional
2,1,48,448.99,449.99,optional
2,1,50,451.99,452.99,mandatory
2,2,1,453,454,mandatory
2,2,8,457,458,mandatory
2,2,12,461,462,mandatory
2,2,13,463,464,mandatory
2,2,14,468,469,mandatory
2,2,17,472,473,mandatory
2,2,18,473,474,optional
2,2,19,474,475,optional
2,2,21,475,476,mandatory
2,2,23,477,478,optional
2,2,24,482,483,mandatory
2,2,25,486,487,mandatory
2,2,26,488,489,mandatory
2,2,27,491,492,mandatory
2,2,28,494,495,optional
2,2,30,496,497,mandatory
2,2,33,498,499,optional
2,2,34,499,500,mandatory
2,2,36,501,502,optional
2,2,37,503,504,mandatory
2,2,38,508,509,mandatory
2,2,39,510,511,mandatory
2,2,42,514,515,optional
2,2,43,515,516,mandatory
2,2,44,518,519,optional
2,2,45,519,520,optional
2,2,47,524,525,optional
2,2,49,527,528,optional
2,2,50,532,533,mandatory
3,1,1,393.99,394.99,mandatory
3,1,8,397.99,398.99,mandatory
3,1,12,401.99,402.99,mandatory
3,1,13,403.99,404.99,mandatory
3,1,14,408.99,409.99,mandatory
3,1,17,412.99,413.99,mandatory
3,1,21,414.99,415.99,mandatory
3,1,22,417.99,418.99,optional
3,1,24,419.99,420.99,mandatory
3,1,25,423.99,424.99,mandatory
3,1,26,450,451,mandatory
3,1,27,453,454,mandatory
3,1,30,456,457,mandatory
3,1,33,458,459,optional
3,1,34,459,460,mandatory
3,1,36,461,462,optional
3,1,37,463,464,mandatory
3,1,38,468,469,mandatory
3,1,39,470,471,mandatory
3,1,43,474,475,mandatory
3,1,50,478,479,mandatory
3,2,1,479,480,mandatory
3,2,8,483,484,mandatory
3,2,12,487,488,mandatory
3,2,13,489,490,mandatory
3,2,14,494,495,mandatory
3,2,17,498,499,mandatory
3,2,21,500,501,mandatory
3,2,24,503,504,mandatory
3,2,25,507,508,mandatory
3,2,26,508,509,mandatory
3,2,27,511,512,mandatory
3,2,30,514,515,mandatory
3,2,32,515,516,optional
3,2,34,517,518,mandatory
3,2,36,519,520,optional
3,2,37,521,522,mandatory
3,2,38,526,527,mandatory
3,2,39,528,529,mandatory
3,2,43,532,533,mandatory
3,2,48,536,537,optional
3,2,50,539,540,mandatory
