order,request_id,request_time,origin,destination,desired_time,ptw_lb,ptw_ub,decision
1,0,-3891,40,45,421,416.0,426.0,accepted
2,1,-3835,36,43,467,462.0,472.0,accepted
3,2,-3814,33,34,479,474.0,484.0,accepted
4,3,-3781,32,48,514,509.0,519.0,accepted
5,4,-3772,28,44,490,485.0,495.0,accepted
6,5,-3674,30,37,508,503.0,513.0,rejected
7,6,-3663,41,44,527,522.0,532.0,rejected
8,7,-3636,38,42,504,499.0,509.0,accepted
9,8,-3503,39,40,489,484.0,494.0,accepted
10,9,-3270,35,38,511,506.0,516.0,rejected
11,10,-3269,30,49,502,497.0,507.0,accepted
12,11,-3187,31,38,483,478.0,488.0,accepted
13,12,-3181,35,40,473,468.0,478.0,rejected
14,13,-3131,26,34,458,453.0,463.0,rejected
15,14,-3084,29,31,506,501.0,511.0,rejected
16,15,-3026,1,18,457,452.0,462.0,accepted
17,16,-3001,14,24,464,459.0,469.0,accepted
18,17,-2955,31,43,445,440.0,450.0,rejected
19,18,-2852,19,24,489,484.0,494.0,rejected
20,19,-2714,37,44,499,494.0,504.0,accepted
21,20,-2658,30,38,499,494.0,504.0,accepted
22,21,-2644,43,45,518,513.0,523.0,accepted
23,22,-2631,27,41,504,499.0,509.0,rejected
24,23,-2610,20,22,398,393.0,403.0,accepted
25,24,-2566,30,39,480,475.0,485.0,rejected
26,25,-2420,1,23,450,445.0,455.0,accepted
27,26,-2345,42,44,448,443.0,453.0,accepted
28,27,-2333,41,47,475,470.0,480.0,rejected
29,28,-2315,30,48,476,471.0,481.0,accepted
30,29,-2277,33,45,444,439.0,449.0,rejected
31,30,-2230,31,40,500,495.0,505.0,rejected
32,31,-2119,11,15,450,445.0,455.0,rejected
33,32,-1991,37,40,419,414.0,424.0,accepted
34,33,-1901,27,38,503,498.0,508.0,rejected
35,34,-1871,31,40,481,476.0,486.0,accepted
36,35,-1754,6,11,481,476.0,486.0,rejected
37,36,-1599,14,21,467,462.0,472.0,accepted
38,37,-1471,7,13,460,455.0,465.0,rejected
39,38,-1358,42,48,523,518.0,528.0,rejected
40,39,-1339,33,48,424,419.0,429.0,accepted
41,40,-1306,41,46,507,502.0,512.0,rejected
42,41,-1280,30,41,405,400.0,410.0,rejected
43,42,-1228,33,39,460,455.0,465.0,accepted
44,43,-1226,5,14,478,473.0,483.0,rejected
45,44,-1089,37,43,494,489.0,499.0,rejected
46,45,-1047,31,47,507,502.0,512.0,rejected
47,46,-1038,27,32,507,502.0,512.0,accepted
48,47,-1026,35,36,455,450.0,460.0,rejected
49,48,-992,34,38,458,453.0,463.0,accepted
50,49,-940,39,47,510,505.0,515.0,accepted
