order,request_id,request_time,origin,destination,desired_time,ptw_lb,ptw_ub,decision
1,7,-42840,38,44,520,515,525,accepted
2,13,-42840,47,56,556,551,561,accepted
3,16,-41400,40,43,536,531,541,accepted
4,22,-41400,45,52,542,537,547,accepted
5,51,-41400,55,57,507,502,512,accepted
6,59,-41400,36,41,494,489,499,accepted
7,21,-39960,48,60,562,557,567,accepted
8,35,-39960,41,58,519,514,524,accepted
9,49,-39960,5,29,444,439,449,accepted
10,50,-39960,42,44,541,536,546,accepted
11,27,-38520,35,48,479,474,484,accepted
12,4,-37080,21,29,454,449,459,accepted
13,14,-35640,53,58,502,497,507,accepted
14,26,-35640,50,53,534,529,539,accepted
15,29,-35640,35,49,523,518,528,accepted
16,17,-34200,13,29,462,457,467,accepted
17,39,-34200,28,30,448,443,453,accepted
18,47,-34200,31,53,469,464,474,accepted
19,60,-34200,16,18,449,444,454,accepted
20,3,-32760,10,19,456,451,461,accepted
21,1,-31320,46,48,555,550,560,accepted
22,11,-31320,43,59,521,516,526,accepted
23,32,-31320,34,44,520,515,525,accepted
24,36,-31320,46,52,555,550,560,accepted
25,53,-31320,15,28,469,464,474,accepted
26,54,-31320,33,57,518,513,523,accepted
27,8,-29880,40,56,464,459,469,accepted
28,19,-29880,47,53,554,549,559,accepted
29,55,-28440,26,30,488,483,493,rejected
30,58,-28440,36,54,526,521,531,accepted
31,28,-27000,33,44,518,513,523,accepted
32,30,-25560,32,38,516,511,521,rejected
33,31,-25560,37,60,489,484,494,accepted
34,24,-24120,33,54,518,513,523,accepted
35,37,-22680,57,58,513,508,518,accepted
36,42,-21240,39,41,499,494,504,accepted
37,10,-18360,8,20,451,446,456,rejected
38,6,-16920,52,55,527,522,532,accepted
39,33,-15480,39,46,529,524,534,accepted
40,9,-14040,36,59,454,449,459,accepted
41,56,-12600,1,27,434,429,439,accepted
42,18,-11160,8,13,418,413,423,accepted
43,34,-11160,1,18,434,429,439,accepted
44,5,-9720,40,58,475,470,480,rejected
45,15,-9720,38,53,522,517,527,rejected
46,38,-9720,11,23,458,453,463,rejected
47,41,-9720,4,30,441,436,446,accepted
48,45,-9720,35,53,523,518,528,accepted
49,57,-8280,53,60,574,569,579,accepted
50,25,-6840,34,57,520,515,525,accepted
51,40,-5400,37,55,473,468,478,rejected
52,43,-5400,6,22,446,441,451,accepted
53,2,-3960,6,23,446,441,451,rejected
54,12,-3960,41,47,530,525,535,rejected
55,20,-3960,57,59,513,508,518,accepted
56,52,-3960,24,26,491,486,496,rejected
57,48,-2520,23,30,489,484,494,rejected
58,23,-1080,41,46,523,518,528,accepted
59,44,-1080,47,55,487,482,492,accepted
60,46,-1080,39,41,531,526,536,rejected
