order,request_id,request_time,origin,destination,desired_time,ptw_lb,ptw_ub,decision
1,36,-42840,31,40,481,476,486,accepted
2,2,-41400,36,44,526,521,531,accepted
3,32,-41400,21,25,485,480,490,accepted
4,52,-38520,14,28,466,461,471,accepted
5,12,-37080,5,13,431,426,436,accepted
6,25,-37080,51,58,567,562,572,accepted
7,23,-35640,31,53,512,507,517,accepted
8,19,-34200,56,57,536,531,541,accepted
9,38,-34200,51,55,569,564,574,accepted
10,43,-34200,37,46,515,510,520,accepted
11,45,-34200,9,20,453,448,458,accepted
12,27,-32760,7,17,449,444,454,accepted
13,46,-32760,14,19,457,452,462,accepted
14,49,-32760,31,49,483,478,488,accepted
15,50,-32760,33,44,472,467,477,accepted
16,40,-31320,46,59,555,550,560,accepted
17,59,-31320,47,53,489,484,494,accepted
18,10,-29880,35,37,523,518,528,accepted
19,44,-29880,52,58,531,526,536,accepted
20,58,-28440,7,21,449,444,454,accepted
21,20,-27000,45,56,552,547,557,accepted
22,29,-25560,40,51,500,495,505,accepted
23,31,-25560,47,49,559,554,564,accepted
24,41,-25560,8,19,451,446,456,accepted
25,3,-24120,50,58,566,561,571,rejected
26,22,-24120,32,47,516,511,521,rejected
27,6,-22680,47,48,530,525,535,accepted
28,18,-21240,5,13,444,439,449,rejected
29,47,-21240,46,52,496,491,501,rejected
30,28,-18360,21,28,485,480,490,accepted
31,48,-18360,34,52,520,515,525,accepted
32,53,-18360,33,35,503,498,508,accepted
33,15,-15480,33,35,510,505,515,accepted
34,37,-15480,45,46,552,547,557,accepted
35,39,-15480,39,42,519,514,524,accepted
36,16,-12600,33,40,518,513,523,rejected
37,42,-12600,33,55,446,441,451,accepted
38,54,-12600,49,57,564,559,569,accepted
39,5,-11160,39,54,471,466,476,accepted
40,11,-11160,33,52,518,513,523,rejected
41,13,-11160,21,30,485,480,490,accepted
42,24,-11160,35,53,489,484,494,accepted
43,34,-11160,34,44,520,515,525,accepted
44,51,-11160,31,51,512,507,517,accepted
45,8,-9720,37,47,529,524,534,accepted
46,9,-9720,51,53,569,564,574,accepted
47,14,-9720,40,59,536,531,541,rejected
48,35,-9720,43,57,489,484,494,rejected
49,55,-9720,11,27,437,432,442,accepted
50,56,-9720,49,54,516,511,521,accepted
51,4,-6840,51,52,497,492,502,accepted
52,17,-6840,36,38,488,483,493,accepted
53,60,-6840,33,49,518,513,523,rejected
54,7,-5400,41,46,495,490,500,rejected
55,30,-5400,39,58,463,458,468,accepted
56,21,-3960,36,53,526,521,531,accepted
57,1,-2520,36,45,526,521,531,accepted
58,26,-2520,12,22,460,455,465,accepted
59,33,-2520,40,57,505,500,510,accepted
60,57,-1080,6,11,446,441,451,rejected
