order,request_id,request_time,origin,destination,desired_time,ptw_lb,ptw_ub,decision
1,7,-42840,26,29,440,435,445,accepted
2,13,-42840,31,37,458,453,463,accepted
3,16,-41400,27,29,449,444,454,accepted
4,22,-41400,30,35,451,446,456,accepted
5,21,-39960,32,40,461,456,466,accepted
6,35,-39960,28,39,440,435,445,accepted
7,27,-38520,23,32,419,414,424,accepted
8,4,-37080,14,19,407,402,412,accepted
9,14,-35640,35,39,429,424,434,rejected
10,26,-35640,33,35,447,442,452,accepted
11,29,-35640,24,33,445,440,450,accepted
12,17,-34200,9,20,416,411,421,accepted
13,39,-34200,19,20,404,399,409,accepted
14,3,-32760,7,13,413,408,418,accepted
15,1,-31320,31,32,458,453,463,accepted
16,11,-31320,29,40,440,435,445,accepted
17,32,-31320,23,30,444,439,449,accepted
18,36,-31320,31,35,458,453,463,accepted
19,8,-29880,27,37,406,401,411,rejected
20,19,-29880,31,36,457,452,462,accepted
21,28,-27000,22,29,443,438,448,rejected
22,30,-25560,21,26,441,436,446,accepted
23,31,-25560,25,40,424,419,429,accepted
24,24,-24120,22,36,441,436,446,rejected
25,37,-22680,38,39,436,431,441,rejected
26,10,-18360,5,13,411,406,416,rejected
27,6,-16920,35,37,443,438,448,accepted
28,33,-15480,26,31,445,440,450,accepted
29,9,-14040,24,39,403,398,408,rejected
30,18,-11160,5,9,389,384,394,accepted
31,34,-11160,1,12,405,400,410,accepted
32,5,-9720,27,39,417,412,422,accepted
33,15,-9720,25,36,441,436,446,rejected
34,38,-9720,8,16,413,408,418,rejected
35,25,-6840,23,38,444,439,449,rejected
36,40,-5400,25,37,417,412,422,accepted
37,2,-3960,4,16,410,405,415,rejected
38,12,-3960,28,31,445,440,450,rejected
39,20,-3960,38,39,433,428,438,rejected
40,23,-1080,28,31,441,436,446,accepted
