order,request_id,request_time,origin,destination,desired_time,ptw_lb,ptw_ub,decision
1,33,-42840,43,44,487,477,497,accepted
2,39,-42840,47,53,529,519,539,accepted
3,47,-42840,15,17,469,459,479,accepted
4,7,-39960,15,16,469,459,479,accepted
5,54,-39960,53,60,566,556,576,accepted
6,8,-37080,37,40,507,497,517,accepted
7,36,-37080,7,16,449,439,459,accepted
8,50,-35640,53,57,574,564,584,accepted
9,58,-34200,20,22,483,473,493,accepted
10,27,-31320,49,53,524,514,534,accepted
11,60,-31320,47,53,492,482,502,accepted
12,5,-29880,42,57,488,478,498,accepted
13,15,-29880,19,29,480,470,490,accepted
14,46,-29880,39,57,495,485,505,accepted
15,43,-28440,35,56,495,485,505,accepted
16,22,-27000,14,18,466,456,476,accepted
17,18,-25560,3,17,418,408,428,accepted
18,23,-25560,34,54,520,510,530,accepted
19,1,-24120,21,28,479,469,489,accepted
20,41,-24120,47,54,559,549,569,accepted
21,51,-24120,16,20,472,462,482,accepted
22,2,-22680,40,52,536,526,546,accepted
23,11,-22680,16,22,400,390,410,accepted
24,55,-22680,35,38,489,479,499,accepted
25,3,-21240,45,53,552,542,562,accepted
26,14,-21240,43,60,543,533,553,accepted
27,31,-21240,55,56,507,497,517,accepted
28,49,-21240,3,15,439,429,449,accepted
29,37,-19800,36,59,526,516,536,accepted
30,6,-18360,5,29,444,434,454,accepted
31,48,-18360,45,48,503,493,513,accepted
32,53,-16920,10,29,456,446,466,accepted
33,56,-16920,34,54,520,510,530,accepted
34,12,-14040,42,50,541,531,551,accepted
35,17,-14040,45,58,536,526,546,accepted
36,24,-14040,42,44,541,531,551,accepted
37,30,-14040,5,20,444,434,454,accepted
38,45,-14040,10,29,456,446,466,accepted
39,59,-14040,35,55,523,513,533,accepted
40,19,-12600,48,54,521,511,531,accepted
41,29,-12600,32,46,516,506,526,accepted
42,35,-12600,40,52,510,500,520,accepted
43,4,-11160,14,21,466,456,476,accepted
44,25,-11160,36,42,522,512,532,accepted
45,16,-9720,32,51,516,506,526,accepted
46,28,-9720,41,43,466,456,476,accepted
47,38,-9720,25,28,469,459,479,accepted
48,40,-9720,50,52,495,485,505,accepted
49,10,-6840,1,5,434,424,444,accepted
50,26,-6840,39,55,533,523,543,accepted
51,34,-6840,10,15,456,446,466,accepted
52,42,-6840,36,47,521,511,531,accepted
53,44,-6840,41,57,538,528,548,accepted
54,52,-6840,46,53,546,536,556,accepted
55,20,-5400,52,58,499,489,509,accepted
56,57,-5400,35,53,469,459,479,accepted
57,9,-2520,19,25,480,470,490,accepted
58,13,-2520,31,34,444,434,454,accepted
59,32,-2520,5,16,444,434,454,accepted
60,21,-1080,42,55,498,488,508,accepted
