vehicle,trip,stop,arrival,departure,stop_type
1,1,1,418,419,mandatory
1,1,4,431,432,optional
1,1,5,437,438,mandatory
1,1,7,446,447,optional
1,1,8,453,454,mandatory
1,1,9,461,462,mandatory
1,1,10,466,467,mandatory
1,1,14,489,490,mandatory
1,1,15,500,501,mandatory
1,1,16,556,557,mandatory
1,1,17,562,563,optional
1,1,20,575,576,mandatory
1,1,23,589,590,mandatory
1,1,24,596,597,mandatory
1,1,25,600,601,mandatory
1,1,26,604,605,optional
1,1,27,609,610,optional
1,1,29,622,623,mandatory
1,1,30,632,633,mandatory
2,1,1,428,429,mandatory
2,1,5,446,447,mandatory
2,1,8,459,460,mandatory
2,1,9,467,468,mandatory
2,1,10,472,473,mandatory
2,1,11,477,478,optional
2,1,14,492,493,mandatory
2,1,15,503,504,mandatory
2,1,16,537,538,mandatory
2,1,20,554,555,mandatory
2,1,21,559,560,optional
2,1,22,564,565,optional
2,1,23,570,571,mandatory
2,1,24,577,578,mandatory
2,1,25,581,582,mandatory
2,1,27,588,589,optional
2,1,29,601,602,mandatory
2,1,30,611,612,mandatory
3,1,1,479,480,mandatory
3,1,5,497,498,mandatory
3,1,8,510,511,mandatory
3,1,9,518,519,mandatory
3,1,10,523,524,mandatory
3,1,14,546,547,mandatory
3,1,15,557,558,mandatory
3,1,16,571,572,mandatory
3,1,20,588,589,mandatory
3,1,23,602,603,mandatory
3,1,24,609,610,mandatory
3,1,25,613,614,mandatory
3,1,28,626,627,optional
3,1,29,633,634,mandatory
3,1,30,643,644,mandatory
4,1,1,500,501,mandatory
4,1,3,508,509,optional
4,1,4,514,515,optional
4,1,5,520,521,mandatory
4,1,7,529,530,optional
4,1,8,536,537,mandatory
4,1,9,544,545,mandatory
4,1,10,549,550,mandatory
4,1,12,557,558,optional
4,1,14,572,573,mandatory
4,1,15,583,584,mandatory
4,1,16,584,585,mandatory
4,1,17,590,591,optional
4,1,18,594,595,optional
4,1,19,600,601,optional
4,1,20,605,606,mandatory
4,1,22,613,614,optional
4,1,23,619,620,mandatory
4,1,24,626,627,mandatory
4,1,25,630,631,mandatory
4,1,29,649,650,mandatory
4,1,30,659,660,mandatory
