order,request_id,request_time,origin,destination,desired_time,ptw_lb,ptw_ub,decision
1,7,-42840,26,29,440,430,450,accepted
2,13,-42840,31,37,458,448,468,accepted
3,16,-41400,27,29,449,439,459,accepted
4,22,-41400,30,35,451,441,461,accepted
5,21,-39960,32,40,461,451,471,accepted
6,35,-39960,28,39,440,430,450,accepted
7,27,-38520,23,32,419,409,429,accepted
8,4,-37080,14,19,407,397,417,accepted
9,14,-35640,35,39,429,419,439,accepted
10,26,-35640,33,35,447,437,457,accepted
11,29,-35640,24,33,445,435,455,accepted
12,17,-34200,9,20,416,406,426,accepted
13,39,-34200,19,20,404,394,414,accepted
14,3,-32760,7,13,413,403,423,accepted
15,1,-31320,31,32,458,448,468,accepted
16,11,-31320,29,40,440,430,450,accepted
17,32,-31320,23,30,444,434,454,accepted
18,36,-31320,31,35,458,448,468,accepted
19,8,-29880,27,37,406,396,416,accepted
20,19,-29880,31,36,457,447,467,accepted
21,28,-27000,22,29,443,433,453,accepted
22,30,-25560,21,26,441,431,451,accepted
23,31,-25560,25,40,424,414,434,accepted
24,24,-24120,22,36,441,431,451,accepted
25,37,-22680,38,39,436,426,446,accepted
26,10,-18360,5,13,411,401,421,accepted
27,6,-16920,35,37,443,433,453,accepted
28,33,-15480,26,31,445,435,455,accepted
29,9,-14040,24,39,403,393,413,accepted
30,18,-11160,5,9,389,379,399,accepted
31,34,-11160,1,12,405,395,415,accepted
32,5,-9720,27,39,417,407,427,accepted
33,15,-9720,25,36,441,431,451,accepted
34,38,-9720,8,16,413,403,423,accepted
35,25,-6840,23,38,444,434,454,rejected
36,40,-5400,25,37,417,407,427,accepted
37,2,-3960,4,16,410,400,420,rejected
38,12,-3960,28,31,445,435,455,accepted
39,20,-3960,38,39,433,423,443,accepted
40,23,-1080,28,31,441,431,451,accepted
