vehicle,trip,stop,arrival,departure,stop_type
1,1,1,360,361,mandatory
1,1,8,364,365,mandatory
1,1,12,368,369,mandatory
1,1,13,370,371,mandatory
1,1,14,375,376,mandatory
1,1,17,379,380,mandatory
1,1,21,381,382,mandatory
1,1,24,384,385,mandatory
1,1,25,388,389,mandatory
1,1,26,423.99,424.99,mandatory
1,1,27,426.99,427.99,mandatory
1,1,30,429.99,430.99,mandatory
1,1,33,431.99,432.99,optional
1,1,34,432.99,433.99,mandatory
1,1,37,436.99,437.99,mandatory
1,1,38,441.99,442.99,mandatory
1,1,39,443.99,444.99,mandatory
1,1,43,447.99,448.99,mandatory
1,1,46,450.99,451.99,optional
1,1,48,452.99,453.99,optional
1,1,50,455.99,456.99,mandatory
1,2,1,457,458,mandatory
1,2,5,461,462,optional
1,2,8,464,465,mandatory
1,2,12,468,469,mandatory
1,2,13,470,471,mandatory
1,2,14,475,476,mandatory
1,2,15,477,478,optional
1,2,16,478,479,optional
1,2,17,480,481,mandatory
1,2,19,482,483,optional
1,2,20,485,486,optional
1,2,21,489,490,mandatory
1,2,23,491,492,optional
1,2,24,496,497,mandatory
1,2,25,500,501,mandatory
1,2,26,501,502,mandatory
1,2,27,504,505,mandatory
1,2,29,506,507,optional
1,2,30,509,510,mandatory
1,2,34,511,512,mandatory
1,2,36,513,514,optional
1,2,37,515,516,mandatory
1,2,38,520,521,mandatory
1,2,39,522,523,mandatory
1,2,40,527,528,optional
1,2,42,529,530,optional
1,2,43,530,531,mandatory
1,2,49,534,535,optional
1,2,50,539,540,mandatory
2,1,1,391.99,392.99,mandatory
2,1,8,395.99,396.99,mandatory
2,1,12,399.99,400.99,mandatory
2,1,13,401.99,402.99,mandatory
2,1,14,406.99,407.99,mandatory
2,1,17,410.99,411.99,mandatory
2,1,18,411.99,412.99,optional
2,1,20,415.99,416.99,optional
2,1,21,419.99,420.99,mandatory
2,1,24,422.99,423.99,mandatory
2,1,25,426.99,427.99,mandatory
2,1,26,448.99,449.99,mandatory
2,1,27,451.99,452.99,mandatory
2,1,29,453.99,454.99,optional
2,1,30,456.99,457.99,mandatory
2,1,33,458.99,459.99,optional
2,1,34,459.99,460.99,mandatory
2,1,36,461.99,462.99,optional
2,1,37,463.99,464.99,mandatory
2,1,38,468.99,469.99,mandatory
2,1,39,470.99,471.99,mandatory
2,1,43,474.99,475.99,mandatory
2,1,44,477.99,478.99,optional
2,1,46,479.99,480.99,optional
2,1,47,482.99,483.99,optional
2,1,48,483.99,484.99,optional
2,1,50,486.99,487.99,mandatory
3,1,1,400.99,401.99,mandatory
3,1,7,406.99,407.99,optional
3,1,8,409.99,410.99,mandatory
3,1,12,413.99,414.99,mandatory
3,1,13,415.99,416.99,mandatory
3,1,14,420.99,421.99,mandatory
3,1,17,424.99,425.99,mandatory
3,1,21,426.99,427.99,mandatory
3,1,24,429.99,430.99,mandatory
3,1,25,433.99,434.99,mandatory
3,1,26,437.99,438.99,mandatory
3,1,27,440.99,441.99,mandatory
3,1,30,443.99,444.99,mandatory
3,1,33,445.99,446.99,optional
3,1,34,446.99,447.99,mandatory
3,1,37,450.99,451.99,mandatory
3,1,38,455.99,456.99,mandatory
3,1,39,457.99,458.99,mandatory
3,1,40,462.99,463.99,optional
3,1,41,463.99,464.99,optional
3,1,43,466.99,467.99,mandatory
3,1,50,470.99,471.99,mandatory
3,2,1,472,473,mandatory
3,2,5,476,477,optional
3,2,6,479,480,optional
3,2,8,482,483,mandatory
3,2,11,485,486,optional
3,2,12,490,491,mandatory
3,2,13,492,493,mandatory
3,2,14,497,498,mandatory
3,2,17,501,502,mandatory
3,2,21,503,504,mandatory
3,2,24,506,507,mandatory
3,2,25,510,511,mandatory
3,2,26,511,512,mandatory
3,2,27,514,515,mandatory
3,2,30,517,518,mandatory
3,2,34,519,520,mandatory
3,2,37,523,524,mandatory
3,2,38,528,529,mandatory
3,2,39,530,531,mandatory
3,2,43,534,535,mandatory
3,2,50,538,539,mandatory
4,1,1,412.99,413.99,mandatory
4,1,8,416.99,417.99,mandatory
4,1,12,420.99,421.99,mandatory
4,1,13,422.99,423.99,mandatory
4,1,14,427.99,428.99,mandatory
4,1,17,431.99,432.99,mandatory
4,1,18,432.99,433.99,optional
4,1,21,434.99,435.99,mandatory
4,1,24,437.99,438.99,mandatory
4,1,25,441.99,442.99,mandatory
4,1,26,470,471,mandatory
4,1,27,473,474,mandatory
4,1,30,476,477,mandatory
4,1,32,477,478,optional
4,1,33,478,479,optional
4,1,34,479,480,mandatory
4,1,35,481,482,optional
4,1,36,482,483,optional
4,1,37,484,485,mandatory
4,1,38,489,490,mandatory
4,1,39,491,492,mandatory
4,1,42,495,496,optional
4,1,43,496,497,mandatory
4,1,44,499,500,optional
4,1,45,500,501,optional
4,1,47,505,506,optional
4,1,48,506,507,optional
4,1,49,508,509,optional
4,1,50,513,514,mandatory
