vehicle,trip,stop,arrival,departure,stop_type
1,1,1,360,361,mandatory
1,1,7,366,367,mandatory
1,1,10,371,372,mandatory
1,1,11,374,375,mandatory
1,1,12,377,378,mandatory
1,1,14,380,381,mandatory
1,1,17,386,387,mandatory
1,1,19,390,391,mandatory
1,1,20,393,394,mandatory
1,1,21,419,420,mandatory
1,1,23,421,422,optional
1,1,25,424,425,optional
1,1,26,426,427,optional
1,1,27,428,429,mandatory
1,1,28,431,432,optional
1,1,29,433,434,optional
1,1,30,436,437,mandatory
1,1,31,439,440,mandatory
1,1,32,442,443,mandatory
1,1,34,445,446,mandatory
1,1,36,449,450,optional
1,1,37,452,453,mandatory
1,1,38,455,456,optional
1,1,39,458,459,mandatory
1,1,40,461,462,mandatory
2,1,1,389.99,390.99,mandatory
2,1,4,393.99,394.99,optional
2,1,7,396.99,397.99,mandatory
2,1,9,399.99,400.99,optional
2,1,10,402.99,403.99,mandatory
2,1,11,405.99,406.99,mandatory
2,1,12,408.99,409.99,mandatory
2,1,14,411.99,412.99,mandatory
2,1,17,417.99,418.99,mandatory
2,1,19,421.99,422.99,mandatory
2,1,20,424.99,425.99,mandatory
2,1,21,434,435,mandatory
2,1,22,436,437,optional
2,1,24,439,440,optional
2,1,25,442,443,optional
2,1,26,444,445,optional
2,1,27,446,447,mandatory
2,1,28,449,450,optional
2,1,29,451,452,optional
2,1,30,454,455,mandatory
2,1,31,457,458,mandatory
2,1,32,460,461,mandatory
2,1,33,462,463,optional
2,1,34,464,465,mandatory
2,1,37,469,470,mandatory
2,1,38,472,473,optional
2,1,39,475,476,mandatory
2,1,40,478,479,mandatory
3,1,1,399.99,400.99,mandatory
3,1,4,403.99,404.99,optional
3,1,5,405.99,406.99,optional
3,1,7,408.99,409.99,mandatory
3,1,9,411.99,412.99,optional
3,1,10,414.99,415.99,mandatory
3,1,11,417.99,418.99,mandatory
3,1,12,420.99,421.99,mandatory
3,1,14,423.99,424.99,mandatory
3,1,15,425.99,426.99,optional
3,1,17,430.99,431.99,mandatory
3,1,19,434.99,435.99,mandatory
3,1,20,437.99,438.99,mandatory
3,1,21,439,440,mandatory
3,1,22,441,442,optional
3,1,23,443,444,optional
3,1,24,445,446,optional
3,1,27,449,450,mandatory
3,1,30,454,455,mandatory
3,1,31,457,458,mandatory
3,1,32,460,461,mandatory
3,1,34,463,464,mandatory
3,1,35,465,466,optional
3,1,36,468,469,optional
3,1,37,471,472,mandatory
3,1,39,476,477,mandatory
3,1,40,479,480,mandatory
