order,request_id,request_time,origin,destination,desired_time,ptw_lb,ptw_ub,decision
1,0,-3859,28,43,452,447.0,457.0,accepted
2,1,-3815,28,31,422,417.0,427.0,accepted
3,2,-3761,29,32,501,496.0,506.0,accepted
4,3,-3717,28,31,483,478.0,488.0,accepted
5,4,-3698,8,19,383,378.0,388.0,accepted
6,5,-3689,38,42,464,459.0,469.0,accepted
7,6,-3458,31,43,474,469.0,479.0,accepted
8,7,-3457,27,30,461,456.0,466.0,accepted
9,8,-3404,34,48,499,494.0,504.0,accepted
10,9,-3363,18,22,475,470.0,480.0,accepted
11,10,-3353,35,41,511,506.0,516.0,accepted
12,11,-3337,35,47,496,491.0,501.0,accepted
13,12,-3164,29,35,432,427.0,437.0,accepted
14,13,-3131,26,34,458,453.0,463.0,accepted
15,14,-3085,37,41,467,462.0,472.0,accepted
16,15,-3069,33,49,481,476.0,486.0,accepted
17,16,-3038,37,47,487,482.0,492.0,accepted
18,17,-2989,46,50,498,493.0,503.0,accepted
19,18,-2946,33,39,460,455.0,465.0,accepted
20,19,-2931,26,36,442,437.0,447.0,accepted
21,20,-2912,34,39,487,482.0,492.0,accepted
22,21,-2840,9,24,443,438.0,448.0,accepted
23,22,-2782,40,43,517,512.0,522.0,accepted
24,23,-2704,14,20,419,414.0,424.0,accepted
25,24,-2686,14,24,468,463.0,473.0,accepted
26,25,-2613,2,18,395,390.0,400.0,accepted
27,26,-2607,29,47,448,443.0,453.0,accepted
28,27,-2420,1,23,450,445.0,455.0,accepted
29,28,-2167,27,48,481,476.0,486.0,accepted
30,29,-2162,32,35,483,478.0,488.0,rejected
31,30,-2129,28,44,480,475.0,485.0,accepted
32,31,-2074,29,30,450,445.0,455.0,accepted
33,32,-1989,3,20,465,460.0,470.0,rejected
34,33,-1901,28,47,400,395.0,405.0,accepted
35,34,-1841,13,20,466,461.0,471.0,rejected
36,35,-1794,34,47,515,510.0,520.0,rejected
37,36,-1780,44,50,476,471.0,481.0,rejected
38,37,-1676,26,47,492,487.0,497.0,accepted
39,38,-1671,42,48,447,442.0,452.0,rejected
40,39,-1663,10,19,432,427.0,437.0,rejected
41,40,-1540,47,49,530,525.0,535.0,accepted
42,41,-1517,26,35,483,478.0,488.0,rejected
43,42,-1498,29,40,489,484.0,494.0,rejected
44,43,-1483,11,19,483,478.0,488.0,rejected
45,44,-1394,32,35,481,476.0,486.0,accepted
46,45,-1318,36,46,437,432.0,442.0,rejected
47,46,-1317,26,27,484,479.0,489.0,rejected
48,47,-1159,39,46,464,459.0,469.0,accepted
49,48,-1068,27,39,480,475.0,485.0,accepted
50,49,-1046,41,42,520,515.0,525.0,accepted
