order,request_id,request_time,origin,destination,desired_time,ptw_lb,ptw_ub,decision
1,0,-3821,7,15,474,469.0,479.0,accepted
2,1,-3308,38,43,450,445.0,455.0,accepted
3,2,-3302,4,10,474,469.0,479.0,accepted
4,3,-3170,33,40,511,506.0,516.0,accepted
5,4,-3021,33,34,464,459.0,469.0,accepted
6,5,-2955,31,43,445,440.0,450.0,accepted
7,6,-2920,38,44,514,509.0,519.0,accepted
8,7,-2853,17,20,413,408.0,418.0,accepted
9,8,-2727,17,23,450,445.0,455.0,accepted
10,9,-2691,32,40,494,489.0,499.0,accepted
11,10,-2676,12,17,486,481.0,491.0,accepted
12,11,-2580,37,41,439,434.0,444.0,accepted
13,12,-2467,43,47,483,478.0,488.0,accepted
14,13,-2334,33,43,511,506.0,516.0,accepted
15,14,-2301,28,45,467,462.0,472.0,accepted
16,15,-2218,44,49,438,433.0,443.0,accepted
17,16,-2173,27,30,417,412.0,422.0,accepted
18,17,-2149,44,47,420,415.0,425.0,accepted
19,18,-2066,41,47,442,437.0,447.0,accepted
20,19,-2052,31,43,455,450.0,460.0,accepted
21,20,-2023,35,48,460,455.0,465.0,accepted
22,21,-1879,35,41,465,460.0,470.0,rejected
23,22,-1753,48,49,468,463.0,473.0,accepted
24,23,-1700,30,39,491,486.0,496.0,rejected
25,24,-1575,10,22,467,462.0,472.0,rejected
26,25,-1358,42,48,523,518.0,528.0,accepted
27,26,-1314,1,13,447,442.0,452.0,rejected
28,27,-1206,29,38,467,462.0,472.0,rejected
29,28,-1047,38,49,511,506.0,516.0,accepted
30,29,-1010,32,35,474,469.0,479.0,rejected
