order,request_id,request_time,origin,destination,desired_time,ptw_lb,ptw_ub,decision
1,36,-42840,26,34,451,446,456,accepted
2,2,-41400,30,37,501,496,506,accepted
3,32,-41400,18,21,476,471,481,accepted
4,12,-37080,4,11,413,408,418,accepted
5,25,-37080,43,49,515,510,520,accepted
6,23,-35640,26,44,493,488,498,accepted
7,19,-34200,46,47,492,487,497,accepted
8,38,-34200,43,46,523,518,528,accepted
9,43,-34200,31,38,476,471,481,accepted
10,45,-34200,7,16,456,451,461,accepted
11,27,-32760,6,14,454,449,459,accepted
12,46,-32760,12,16,433,428,438,accepted
13,49,-32760,26,41,452,447,457,accepted
14,50,-32760,28,36,444,439,449,accepted
15,40,-31320,38,49,510,505,515,accepted
16,10,-29880,30,31,501,496,506,accepted
17,44,-29880,44,48,488,483,493,accepted
18,20,-27000,37,47,509,504,514,accepted
19,29,-25560,34,43,465,460,470,accepted
20,31,-25560,39,41,517,512,522,rejected
21,41,-25560,7,16,456,451,461,accepted
22,3,-24120,42,48,515,510,520,rejected
23,22,-24120,27,39,496,491,501,rejected
24,6,-22680,39,40,488,483,493,accepted
25,18,-21240,4,11,436,431,441,accepted
26,47,-21240,39,44,462,457,467,accepted
27,28,-18360,17,23,475,470,480,rejected
28,48,-18360,29,43,499,494,504,rejected
29,15,-15480,27,30,472,467,477,rejected
30,37,-15480,37,38,514,509,519,accepted
31,39,-15480,32,35,479,474,484,rejected
32,16,-12600,28,33,497,492,502,accepted
33,42,-12600,28,46,415,410,420,rejected
34,5,-11160,33,45,444,439,449,accepted
35,11,-11160,28,44,497,492,502,accepted
36,13,-11160,18,25,476,471,481,accepted
37,24,-11160,29,44,457,452,462,rejected
38,34,-11160,28,37,497,492,502,accepted
39,8,-9720,31,39,488,483,493,rejected
40,9,-9720,43,45,520,515,525,accepted
41,14,-9720,33,50,506,501,511,accepted
42,35,-9720,36,48,457,452,462,accepted
43,4,-6840,42,44,441,436,446,rejected
44,17,-6840,31,32,456,451,461,rejected
45,7,-5400,35,39,461,456,466,rejected
46,30,-5400,33,48,437,432,442,rejected
47,21,-3960,30,44,499,494,504,accepted
48,1,-2520,30,38,501,496,506,accepted
49,26,-2520,10,19,462,457,467,rejected
50,33,-2520,33,48,469,464,474,accepted
