order,request_id,request_time,origin,destination,desired_time,ptw_lb,ptw_ub,decision
1,33,-42840,29,30,424,414,434,accepted
2,39,-42840,32,35,445,435,455,accepted
3,7,-39960,10,11,418,408,428,accepted
4,8,-37080,25,27,434,424,444,accepted
5,36,-37080,5,11,411,401,421,accepted
6,27,-31320,33,36,442,432,452,accepted
7,5,-29880,28,38,424,414,434,accepted
8,15,-29880,13,19,426,416,436,accepted
9,22,-27000,9,12,416,406,426,accepted
10,18,-25560,2,12,389,379,399,accepted
11,23,-25560,23,36,443,433,453,accepted
12,1,-24120,14,18,419,409,429,accepted
13,2,-22680,27,35,449,439,459,accepted
14,11,-22680,11,15,378,368,388,accepted
15,3,-21240,30,35,455,445,465,accepted
16,14,-21240,29,40,451,441,461,accepted
17,31,-21240,37,38,427,417,437,accepted
18,37,-19800,24,39,445,435,455,accepted
19,6,-18360,4,20,410,400,420,accepted
20,12,-14040,28,33,452,442,462,accepted
21,17,-14040,30,39,448,438,458,accepted
22,24,-14040,28,29,452,442,462,accepted
23,30,-14040,4,13,410,400,420,accepted
24,19,-12600,32,36,441,431,451,accepted
25,29,-12600,22,31,443,433,453,accepted
26,35,-12600,27,35,435,425,445,accepted
27,4,-11160,9,14,416,406,426,accepted
28,25,-11160,24,28,441,431,451,accepted
29,16,-9720,22,34,443,433,453,accepted
30,28,-9720,27,29,406,396,416,accepted
31,38,-9720,17,19,415,405,425,accepted
32,40,-9720,34,35,421,411,431,accepted
33,10,-6840,1,4,405,395,415,accepted
34,26,-6840,26,37,448,438,458,accepted
35,34,-6840,7,10,413,403,423,accepted
36,20,-5400,35,39,423,413,433,accepted
37,9,-2520,13,17,425,415,435,accepted
38,13,-2520,21,23,402,392,412,accepted
39,32,-2520,4,11,410,400,420,accepted
40,21,-1080,28,37,429,419,439,accepted
