order,request_id,request_time,origin,destination,desired_time,ptw_lb,ptw_ub,decision
1,0,-3845,31,50,460,455.0,465.0,accepted
2,1,-3720,27,42,478,473.0,483.0,accepted
3,2,-3670,28,41,458,453.0,463.0,accepted
4,3,-3670,36,42,476,471.0,481.0,accepted
5,4,-3520,29,43,505,500.0,510.0,accepted
6,5,-3500,21,24,435,430.0,440.0,accepted
7,6,-3491,10,13,440,435.0,445.0,accepted
8,7,-3449,8,11,469,464.0,474.0,accepted
9,8,-3444,21,24,449,444.0,454.0,accepted
10,9,-3435,26,47,433,428.0,438.0,accepted
11,10,-3306,27,40,410,405.0,415.0,accepted
12,11,-3179,34,45,444,439.0,449.0,accepted
13,12,-3157,18,21,482,477.0,487.0,accepted
14,13,-3130,11,22,456,451.0,461.0,accepted
15,14,-3084,29,31,506,501.0,511.0,accepted
16,15,-3055,34,38,511,506.0,516.0,accepted
17,16,-2992,41,49,515,510.0,520.0,accepted
18,17,-2929,4,12,442,437.0,447.0,rejected
19,18,-2899,28,46,410,405.0,415.0,accepted
20,19,-2875,29,49,485,480.0,490.0,accepted
21,20,-2859,30,32,463,458.0,468.0,accepted
22,21,-2759,1,5,454,449.0,459.0,accepted
23,22,-2686,6,14,457,452.0,462.0,rejected
24,23,-2547,40,42,508,503.0,513.0,accepted
25,24,-2508,28,43,500,495.0,505.0,accepted
26,25,-2494,29,35,508,503.0,513.0,accepted
27,26,-2467,43,47,483,478.0,488.0,rejected
28,27,-2456,12,14,419,414.0,424.0,accepted
29,28,-2384,41,43,514,509.0,519.0,accepted
30,29,-2377,6,16,458,453.0,463.0,rejected
31,30,-2342,3,6,435,430.0,440.0,rejected
32,31,-2321,38,44,488,483.0,493.0,rejected
33,32,-2245,30,31,506,501.0,511.0,accepted
34,33,-2203,39,47,479,474.0,484.0,accepted
35,34,-2151,31,35,508,503.0,513.0,accepted
36,35,-2063,43,47,517,512.0,522.0,accepted
37,36,-2016,33,45,428,423.0,433.0,rejected
38,37,-2014,1,24,407,402.0,412.0,accepted
39,38,-1914,1,10,421,416.0,426.0,rejected
40,39,-1812,19,20,499,494.0,504.0,rejected
41,40,-1700,30,39,491,486.0,496.0,accepted
42,41,-1596,40,50,493,488.0,498.0,rejected
43,42,-1581,15,16,447,442.0,452.0,rejected
44,43,-1580,34,50,474,469.0,479.0,accepted
45,44,-1520,27,43,505,500.0,510.0,accepted
46,45,-1365,26,36,482,477.0,487.0,accepted
47,46,-1360,12,21,451,446.0,456.0,rejected
48,47,-1317,26,27,484,479.0,489.0,accepted
49,48,-1205,31,41,474,469.0,479.0,rejected
50,49,-1010,32,35,474,469.0,479.0,rejected
