order,request_id,request_time,origin,destination,desired_time,ptw_lb,ptw_ub,decision
1,0,-3891,40,45,421,418.0,424.0,accepted
2,1,-3835,36,43,467,464.0,470.0,accepted
3,2,-3814,33,34,479,476.0,482.0,accepted
4,3,-3781,32,48,514,511.0,517.0,accepted
5,4,-3772,28,44,490,487.0,493.0,accepted
6,5,-3674,30,37,508,505.0,511.0,accepted
7,6,-3663,41,44,527,524.0,530.0,rejected
8,7,-3636,38,42,504,501.0,507.0,accepted
9,8,-3503,39,40,489,486.0,492.0,accepted
10,9,-3270,35,38,511,508.0,514.0,rejected
11,10,-3269,30,49,502,499.0,505.0,rejected
12,11,-3187,31,38,483,480.0,486.0,rejected
13,12,-3181,35,40,473,470.0,476.0,rejected
14,13,-3131,26,34,458,455.0,461.0,accepted
15,14,-3084,29,31,506,503.0,509.0,accepted
16,15,-3026,1,18,457,454.0,460.0,accepted
17,16,-3001,14,24,464,461.0,467.0,accepted
18,17,-2955,31,43,445,442.0,448.0,rejected
19,18,-2852,19,24,489,486.0,492.0,rejected
20,19,-2714,37,44,499,496.0,502.0,accepted
21,20,-2658,30,38,499,496.0,502.0,rejected
22,21,-2644,43,45,518,515.0,521.0,rejected
23,22,-2631,27,41,504,501.0,507.0,rejected
24,23,-2610,20,22,398,395.0,401.0,accepted
25,24,-2566,30,39,480,477.0,483.0,accepted
26,25,-2420,1,23,450,447.0,453.0,accepted
27,26,-2345,42,44,448,445.0,451.0,accepted
28,27,-2333,41,47,475,472.0,478.0,rejected
29,28,-2315,30,48,476,473.0,479.0,accepted
30,29,-2277,33,45,444,441.0,447.0,rejected
31,30,-2230,31,40,500,497.0,503.0,rejected
32,31,-2119,11,15,450,447.0,453.0,rejected
33,32,-1991,37,40,419,416.0,422.0,accepted
34,33,-1901,27,38,503,500.0,506.0,accepted
35,34,-1871,31,40,481,478.0,484.0,rejected
36,35,-1754,6,11,481,478.0,484.0,rejected
37,36,-1599,14,21,467,464.0,470.0,accepted
38,37,-1471,7,13,460,457.0,463.0,accepted
39,38,-1358,42,48,523,520.0,526.0,rejected
40,39,-1339,33,48,424,421.0,427.0,accepted
41,40,-1306,41,46,507,504.0,510.0,accepted
42,41,-1280,30,41,405,402.0,408.0,rejected
43,42,-1228,33,39,460,457.0,463.0,rejected
44,43,-1226,5,14,478,475.0,481.0,rejected
45,44,-1089,37,43,494,491.0,497.0,accepted
46,45,-1047,31,47,507,504.0,510.0,accepted
47,46,-1038,27,32,507,504.0,510.0,rejected
48,47,-1026,35,36,455,452.0,458.0,rejected
49,48,-992,34,38,458,455.0,461.0,rejected
50,49,-940,39,47,510,507.0,513.0,rejected
