order,request_id,request_time,origin,destination,desired_time,ptw_lb,ptw_ub,decision
1,33,-42840,36,37,455,450,460,accepted
2,39,-42840,40,44,487,482,492,accepted
3,47,-42840,13,14,460,455,465,accepted
4,7,-39960,13,14,452,447,457,accepted
5,8,-37080,31,34,470,465,475,accepted
6,36,-37080,6,14,456,451,461,accepted
7,50,-35640,45,47,527,522,532,accepted
8,27,-31320,41,44,483,478,488,accepted
9,5,-29880,35,47,456,451,461,accepted
10,15,-29880,16,24,475,470,480,accepted
11,46,-29880,33,47,461,456,466,rejected
12,43,-28440,30,46,461,456,466,accepted
13,22,-27000,11,15,457,452,462,accepted
14,18,-25560,3,14,404,399,409,accepted
15,23,-25560,28,45,485,480,490,accepted
16,1,-24120,17,23,449,444,454,accepted
17,41,-24120,40,45,520,515,525,accepted
18,2,-22680,33,44,507,502,512,accepted
19,11,-22680,13,18,385,380,390,accepted
20,3,-21240,38,44,514,509,519,accepted
21,14,-21240,36,50,497,492,502,accepted
22,31,-21240,46,47,454,449,459,rejected
23,49,-21240,3,13,427,422,432,accepted
24,37,-19800,30,49,488,483,493,accepted
25,6,-18360,4,24,452,447,457,accepted
26,48,-18360,37,40,468,463,473,accepted
27,12,-14040,35,41,511,506,516,accepted
28,17,-14040,38,49,492,487,497,accepted
29,24,-14040,35,37,511,506,516,accepted
30,30,-14040,4,17,452,447,457,accepted
31,45,-14040,9,24,462,457,467,rejected
32,19,-12600,40,45,481,476,486,accepted
33,29,-12600,27,38,497,492,502,accepted
34,35,-12600,33,43,473,468,478,accepted
35,4,-11160,12,17,468,463,473,accepted
36,25,-11160,30,35,482,477,487,accepted
37,16,-9720,27,43,485,480,490,rejected
38,28,-9720,34,36,425,420,430,rejected
39,38,-9720,21,24,442,437,447,accepted
40,40,-9720,42,43,445,440,450,rejected
41,10,-6840,1,4,446,441,451,accepted
42,26,-6840,33,46,507,502,512,rejected
43,34,-6840,8,12,460,455,465,accepted
44,42,-6840,30,39,481,476,486,accepted
45,44,-6840,35,48,494,489,499,accepted
46,20,-5400,44,49,446,441,451,rejected
47,9,-2520,16,21,457,452,462,rejected
48,13,-2520,26,28,423,418,428,rejected
49,32,-2520,5,13,437,432,442,accepted
50,21,-1080,35,46,463,458,468,accepted
