order,request_id,request_time,origin,destination,desired_time,ptw_lb,ptw_ub,decision
1,0,-3840,3,17,471,468.0,474.0,accepted
2,1,-3821,7,15,474,471.0,477.0,accepted
3,2,-3635,27,37,511,508.0,514.0,accepted
4,3,-3623,24,25,431,428.0,434.0,accepted
5,4,-3414,30,33,442,439.0,445.0,accepted
6,5,-3337,35,47,496,493.0,499.0,accepted
7,6,-3308,38,43,450,447.0,453.0,accepted
8,7,-3302,4,10,474,471.0,477.0,accepted
9,8,-3170,33,40,511,508.0,514.0,accepted
10,9,-3134,14,17,458,455.0,461.0,accepted
11,10,-3075,2,14,467,464.0,470.0,accepted
12,11,-3021,33,34,464,461.0,467.0,accepted
13,12,-2955,31,43,445,442.0,448.0,accepted
14,13,-2920,38,44,514,511.0,517.0,accepted
15,14,-2853,17,20,413,410.0,416.0,accepted
16,15,-2819,4,24,454,451.0,457.0,rejected
17,16,-2727,17,23,450,447.0,453.0,rejected
18,17,-2691,32,40,494,491.0,497.0,accepted
19,18,-2676,12,17,486,483.0,489.0,accepted
20,19,-2580,37,41,439,436.0,442.0,accepted
21,20,-2558,7,11,447,444.0,450.0,rejected
22,21,-2467,43,47,483,480.0,486.0,accepted
23,22,-2388,13,18,373,370.0,376.0,accepted
24,23,-2334,33,43,511,508.0,514.0,accepted
25,24,-2320,31,34,476,473.0,479.0,rejected
26,25,-2301,28,45,467,464.0,470.0,rejected
27,26,-2299,11,19,483,480.0,486.0,rejected
28,27,-2218,44,49,438,435.0,441.0,accepted
29,28,-2173,27,30,417,414.0,420.0,rejected
30,29,-2151,31,35,508,505.0,511.0,rejected
31,30,-2149,44,47,420,417.0,423.0,accepted
32,31,-2066,41,47,442,439.0,445.0,rejected
33,32,-2052,31,43,455,452.0,458.0,rejected
34,33,-2039,13,14,452,449.0,455.0,accepted
35,34,-2023,35,48,460,457.0,463.0,rejected
36,35,-1879,35,41,465,462.0,468.0,accepted
37,36,-1753,48,49,468,465.0,471.0,rejected
38,37,-1714,16,21,458,455.0,461.0,rejected
39,38,-1713,39,45,442,439.0,445.0,rejected
40,39,-1700,30,39,491,488.0,494.0,accepted
41,40,-1674,4,24,472,469.0,475.0,accepted
42,41,-1575,10,22,467,464.0,470.0,rejected
43,42,-1358,42,48,523,520.0,526.0,accepted
44,43,-1324,33,49,450,447.0,453.0,rejected
45,44,-1323,30,35,483,480.0,486.0,rejected
46,45,-1314,1,13,447,444.0,450.0,accepted
47,46,-1206,29,38,467,464.0,470.0,rejected
48,47,-1115,27,36,509,506.0,512.0,accepted
49,48,-1047,38,49,511,508.0,514.0,rejected
50,49,-1010,32,35,474,471.0,477.0,rejected
