vehicle,trip,stop,arrival,departure,stop_type
1,1,1,426,427,mandatory
1,1,2,432,433,optional
1,1,5,443,444,mandatory
1,1,8,456,457,mandatory
1,1,9,464,465,mandatory
1,1,10,469,470,mandatory
1,1,14,492,493,mandatory
1,1,15,503,504,mandatory
1,1,16,504,505,mandatory
1,1,20,521,522,mandatory
1,1,21,526,527,optional
1,1,23,534,535,mandatory
1,1,24,541,542,mandatory
1,1,25,545,546,mandatory
1,1,28,558,559,optional
1,1,29,565,566,mandatory
1,1,30,575,576,mandatory
2,1,1,457,458,mandatory
2,1,5,475,476,mandatory
2,1,8,488,489,mandatory
2,1,9,496,497,mandatory
2,1,10,501,502,mandatory
2,1,11,506,507,optional
2,1,14,521,522,mandatory
2,1,15,532,533,mandatory
2,1,16,533,534,mandatory
2,1,19,545,546,optional
2,1,20,550,551,mandatory
2,1,23,564,565,mandatory
2,1,24,571,572,mandatory
2,1,25,575,576,mandatory
2,1,27,582,583,optional
2,1,29,595,596,mandatory
2,1,30,605,606,mandatory
3,1,1,477,478,mandatory
3,1,5,495,496,mandatory
3,1,8,508,509,mandatory
3,1,9,516,517,mandatory
3,1,10,521,522,mandatory
3,1,13,535,536,optional
3,1,14,542,543,mandatory
3,1,15,553,554,mandatory
3,1,16,556,557,mandatory
3,1,17,562,563,optional
3,1,18,566,567,optional
3,1,20,574,575,mandatory
3,1,22,582,583,optional
3,1,23,588,589,mandatory
3,1,24,595,596,mandatory
3,1,25,599,600,mandatory
3,1,26,603,604,optional
3,1,27,608,609,optional
3,1,29,621,622,mandatory
3,1,30,631,632,mandatory
4,1,1,502,503,mandatory
4,1,3,510,511,optional
4,1,5,519,520,mandatory
4,1,7,528,529,optional
4,1,8,535,536,mandatory
4,1,9,543,544,mandatory
4,1,10,548,549,mandatory
4,1,11,553,554,optional
4,1,14,568,569,mandatory
4,1,15,579,580,mandatory
4,1,16,583,584,mandatory
4,1,17,589,590,optional
4,1,20,602,603,mandatory
4,1,21,607,608,optional
4,1,22,612,613,optional
4,1,23,618,619,mandatory
4,1,24,625,626,mandatory
4,1,25,629,630,mandatory
4,1,26,633,634,optional
4,1,28,641,642,optional
4,1,29,648,649,mandatory
4,1,30,658,659,mandatory
