order,request_id,request_time,origin,destination,desired_time,ptw_lb,ptw_ub,decision
1,7,-39960,8,9,513,503,523,accepted
2,8,-37080,19,20,544,534,554,accepted
3,27,-31320,24,27,566,556,576,accepted
4,5,-29880,21,29,521,511,531,accepted
5,15,-29880,10,14,550,540,560,accepted
6,22,-27000,7,9,521,511,531,accepted
7,18,-25560,2,9,433,423,443,accepted
8,23,-25560,17,27,568,558,578,accepted
9,1,-24120,11,14,508,498,518,accepted
10,2,-22680,20,26,603,593,613,accepted
11,11,-22680,8,11,398,388,408,rejected
12,3,-21240,23,26,616,606,626,accepted
13,14,-21240,22,30,588,578,598,accepted
14,6,-18360,3,15,511,501,521,accepted
15,12,-14040,21,25,608,598,618,accepted
16,17,-14040,23,29,579,569,589,accepted
17,24,-14040,21,22,608,598,618,accepted
18,30,-14040,3,10,511,501,521,accepted
19,19,-12600,24,27,562,552,572,accepted
20,29,-12600,17,23,591,581,601,accepted
21,4,-11160,7,11,531,521,541,accepted
22,25,-11160,18,22,563,553,573,accepted
23,16,-9720,17,26,569,559,579,accepted
24,28,-9720,21,22,469,459,479,rejected
25,10,-6840,1,3,501,491,511,accepted
26,26,-6840,20,28,603,593,613,accepted
27,20,-5400,26,29,503,493,513,rejected
28,9,-2520,10,13,522,512,532,accepted
29,13,-2520,16,17,465,455,475,rejected
30,21,-1080,21,28,532,522,542,accepted
