order,request_id,request_time,origin,destination,desired_time,ptw_lb,ptw_ub,decision
1,0,-3835,36,43,467,462.0,472.0,accepted
2,1,-3674,30,37,508,503.0,513.0,accepted
3,2,-3636,1,14,464,459.0,469.0,accepted
4,3,-3564,31,41,512,507.0,517.0,accepted
5,4,-3555,39,44,489,484.0,494.0,accepted
6,5,-3526,16,25,464,459.0,469.0,accepted
7,6,-3520,29,43,505,500.0,510.0,accepted
8,7,-3425,37,45,510,505.0,515.0,accepted
9,8,-3384,34,49,492,487.0,497.0,accepted
10,9,-3363,18,22,475,470.0,480.0,accepted
11,10,-3299,28,38,465,460.0,470.0,accepted
12,11,-3200,45,48,522,517.0,527.0,rejected
13,12,-3180,27,46,454,449.0,459.0,accepted
14,13,-3173,30,38,457,452.0,462.0,accepted
15,14,-3164,29,35,432,427.0,437.0,accepted
16,15,-3160,33,48,435,430.0,440.0,accepted
17,16,-3139,43,47,509,504.0,514.0,accepted
18,17,-3131,26,34,458,453.0,463.0,accepted
19,18,-3124,4,8,474,469.0,479.0,rejected
20,19,-3110,33,36,474,469.0,479.0,accepted
21,20,-3083,26,40,417,412.0,422.0,accepted
22,21,-3067,15,25,483,478.0,488.0,accepted
23,22,-3042,30,41,503,498.0,508.0,accepted
24,23,-3035,26,31,504,499.0,509.0,rejected
25,24,-3026,1,18,457,452.0,462.0,accepted
26,25,-3000,35,43,504,499.0,509.0,accepted
27,26,-2948,6,13,467,462.0,472.0,accepted
28,27,-2914,32,38,442,437.0,447.0,rejected
29,28,-2912,34,40,514,509.0,519.0,accepted
30,29,-2879,29,50,428,423.0,433.0,accepted
31,30,-2877,9,20,478,473.0,483.0,rejected
32,31,-2852,19,24,489,484.0,494.0,accepted
33,32,-2819,32,50,508,503.0,513.0,rejected
34,33,-2819,4,24,454,449.0,459.0,accepted
35,34,-2787,41,45,529,524.0,534.0,accepted
36,35,-2686,38,40,467,462.0,472.0,accepted
37,36,-2658,30,38,499,494.0,504.0,accepted
38,37,-2610,20,22,398,393.0,403.0,accepted
39,38,-2607,29,47,448,443.0,453.0,rejected
40,39,-2566,30,39,480,475.0,485.0,rejected
41,40,-2547,40,42,508,503.0,513.0,rejected
42,41,-2476,42,46,491,486.0,496.0,accepted
43,42,-2450,38,39,525,520.0,530.0,accepted
44,43,-2428,29,34,487,482.0,492.0,accepted
45,44,-2345,42,44,448,443.0,453.0,rejected
46,45,-2342,3,6,435,430.0,440.0,accepted
47,46,-2333,41,47,475,470.0,480.0,accepted
48,47,-2318,32,34,455,450.0,460.0,accepted
49,48,-2315,30,48,476,471.0,481.0,accepted
50,49,-2277,33,45,444,439.0,449.0,rejected
51,50,-2245,46,49,495,490.0,500.0,accepted
52,51,-2230,31,40,500,495.0,505.0,rejected
53,52,-2178,20,22,463,458.0,468.0,rejected
54,53,-2166,32,38,457,452.0,462.0,accepted
55,54,-2149,44,47,420,415.0,425.0,accepted
56,55,-2119,11,15,450,445.0,455.0,rejected
57,56,-2086,3,10,435,430.0,440.0,rejected
58,57,-1991,37,40,419,414.0,424.0,accepted
59,58,-1901,28,47,400,395.0,405.0,accepted
60,59,-1850,36,39,497,492.0,502.0,accepted
61,60,-1821,28,33,487,482.0,492.0,rejected
62,61,-1816,27,48,487,482.0,492.0,accepted
63,62,-1768,48,49,515,510.0,520.0,accepted
64,63,-1749,7,15,402,397.0,407.0,accepted
65,64,-1690,4,15,467,462.0,472.0,rejected
66,65,-1682,29,44,489,484.0,494.0,rejected
67,66,-1671,42,48,447,442.0,452.0,accepted
68,67,-1648,33,49,515,510.0,520.0,rejected
69,68,-1615,30,48,427,422.0,432.0,accepted
70,69,-1599,14,21,467,462.0,472.0,accepted
71,70,-1586,31,43,464,459.0,469.0,rejected
72,71,-1574,40,43,501,496.0,506.0,rejected
73,72,-1563,44,49,450,445.0,455.0,rejected
74,73,-1548,16,24,489,484.0,494.0,rejected
75,74,-1490,31,41,512,507.0,517.0,accepted
76,75,-1474,8,13,400,395.0,405.0,accepted
77,76,-1396,29,32,456,451.0,461.0,accepted
78,77,-1383,11,15,457,452.0,462.0,rejected
79,78,-1377,33,35,497,492.0,502.0,accepted
80,79,-1358,42,48,523,518.0,528.0,rejected
81,80,-1339,33,48,424,419.0,429.0,rejected
82,81,-1334,12,25,373,368.0,378.0,accepted
83,82,-1323,36,37,501,496.0,506.0,accepted
84,83,-1287,39,50,413,408.0,418.0,accepted
85,84,-1280,30,41,405,400.0,410.0,rejected
86,85,-1245,8,19,464,459.0,469.0,accepted
87,86,-1226,5,14,478,473.0,483.0,rejected
88,87,-1158,36,49,478,473.0,483.0,accepted
89,88,-1156,15,24,435,430.0,440.0,rejected
90,89,-1125,39,44,464,459.0,469.0,rejected
91,90,-1119,35,41,502,497.0,507.0,rejected
92,91,-1089,37,43,494,489.0,499.0,rejected
93,92,-1068,27,39,480,475.0,485.0,rejected
94,93,-1047,31,47,507,502.0,512.0,rejected
95,94,-1046,41,42,520,515.0,525.0,rejected
96,95,-1038,27,32,507,502.0,512.0,rejected
97,96,-1026,35,36,455,450.0,460.0,rejected
98,97,-996,20,21,495,490.0,500.0,rejected
99,98,-953,17,19,489,484.0,494.0,accepted
100,99,-940,39,47,510,505.0,515.0,accepted
