vehicle,trip,stop,arrival,departure,stop_type
1,1,1,360,361,mandatory
1,1,8,364,365,mandatory
1,1,12,368,369,mandatory
1,1,13,370,371,mandatory
1,1,14,375,376,mandatory
1,1,17,379,380,mandatory
1,1,21,381,382,mandatory
1,1,24,384,385,mandatory
1,1,25,388,389,mandatory
1,1,26,406,407,mandatory
1,1,27,409,410,mandatory
1,1,30,412,413,mandatory
1,1,33,414,415,optional
1,1,34,415,416,mandatory
1,1,37,419,420,mandatory
1,1,38,424,425,mandatory
1,1,39,426,427,mandatory
1,1,40,431,432,optional
1,1,41,432,433,optional
1,1,43,435,436,mandatory
1,1,50,439,440,mandatory
1,2,1,447,448,mandatory
1,2,4,449,450,optional
1,2,8,452,453,mandatory
1,2,11,455,456,optional
1,2,12,460,461,mandatory
1,2,13,462,463,mandatory
1,2,14,467,468,mandatory
1,2,16,470,471,optional
1,2,17,472,473,mandatory
1,2,21,474,475,mandatory
1,2,24,477,478,mandatory
1,2,25,481,482,mandatory
1,2,26,487,488,mandatory
1,2,27,490,491,mandatory
1,2,30,493,494,mandatory
1,2,31,497,498,optional
1,2,34,501,502,mandatory
1,2,37,505,506,mandatory
1,2,38,510,511,mandatory
1,2,39,512,513,mandatory
1,2,40,517,518,optional
1,2,43,520,521,mandatory
1,2,44,523,524,optional
1,2,45,524,525,optional
1,2,48,528,529,optional
1,2,50,531,532,mandatory
2,1,1,360,361,mandatory
2,1,8,364,365,mandatory
2,1,12,368,369,mandatory
2,1,13,370,371,mandatory
2,1,14,375,376,mandatory
2,1,17,379,380,mandatory
2,1,21,381,382,mandatory
2,1,24,384,385,mandatory
2,1,25,388,389,mandatory
2,1,26,422,423,mandatory
2,1,27,425,426,mandatory
2,1,30,428,429,mandatory
2,1,31,432,433,optional
2,1,34,436,437,mandatory
2,1,36,438,439,optional
2,1,37,440,441,mandatory
2,1,38,445,446,mandatory
2,1,39,447,448,mandatory
2,1,43,451,452,mandatory
2,1,46,454,455,optional
2,1,47,457,458,optional
2,1,50,459,460,mandatory
2,2,1,468,469,mandatory
2,2,8,472,473,mandatory
2,2,10,476,477,optional
2,2,12,482,483,mandatory
2,2,13,484,485,mandatory
2,2,14,489,490,mandatory
2,2,17,493,494,mandatory
2,2,19,495,496,optional
2,2,21,496,497,mandatory
2,2,23,498,499,optional
2,2,24,503,504,mandatory
2,2,25,507,508,mandatory
2,2,26,508,509,mandatory
2,2,27,511,512,mandatory
2,2,29,513,514,optional
2,2,30,516,517,mandatory
2,2,32,517,518,optional
2,2,33,518,519,optional
2,2,34,519,520,mandatory
2,2,36,521,522,optional
2,2,37,523,524,mandatory
2,2,38,528,529,mandatory
2,2,39,530,531,mandatory
2,2,43,534,535,mandatory
2,2,50,538,539,mandatory
3,1,1,418,419,mandatory
3,1,8,422,423,mandatory
3,1,10,426,427,optional
3,1,12,432,433,mandatory
3,1,13,434,435,mandatory
3,1,14,439,440,mandatory
3,1,17,443,444,mandatory
3,1,19,445,446,optional
3,1,21,446,447,mandatory
3,1,24,449,450,mandatory
3,1,25,453,454,mandatory
3,1,26,454,455,mandatory
3,1,27,457,458,mandatory
3,1,30,460,461,mandatory
3,1,31,464,465,optional
3,1,34,468,469,mandatory
3,1,35,470,471,optional
3,1,36,471,472,optional
3,1,37,473,474,mandatory
3,1,38,478,479,mandatory
3,1,39,480,481,mandatory
3,1,41,486,487,optional
3,1,43,489,490,mandatory
3,1,45,492,493,optional
3,1,47,497,498,optional
3,1,49,500,501,optional
3,1,50,505,506,mandatory
4,1,1,434,435,mandatory
4,1,4,436,437,optional
4,1,8,439,440,mandatory
4,1,12,443,444,mandatory
4,1,13,445,446,mandatory
4,1,14,450,451,mandatory
4,1,17,454,455,mandatory
4,1,21,456,457,mandatory
4,1,22,459,460,optional
4,1,24,461,462,mandatory
4,1,25,465,466,mandatory
4,1,26,466,467,mandatory
4,1,27,469,470,mandatory
4,1,29,471,472,optional
4,1,30,474,475,mandatory
4,1,31,478,479,optional
4,1,32,481,482,optional
4,1,33,482,483,optional
4,1,34,483,484,mandatory
4,1,37,487,488,mandatory
4,1,38,492,493,mandatory
4,1,39,494,495,mandatory
4,1,43,498,499,mandatory
4,1,45,501,502,optional
4,1,50,507,508,mandatory
